millis,ax,ay,az,gx,gy,gz,mx,my,mz,temp,alt,pitch,yaw,roll
13821,-0.00,0.00,-1.00,0.00,-0.24,-0.06,297.60,317.51,-36.34,26.19,1553.36,-8.76,-168.81,2.80
13844,-0.00,0.00,-1.00,0.00,-0.18,0.00,297.60,317.51,-36.34,26.19,1550.81,-9.05,-168.25,2.89
13868,0.00,0.00,-1.00,0.00,-0.12,0.12,297.60,317.51,-36.34,26.21,1552.12,-9.35,-167.69,2.98
13891,-0.00,0.00,-1.00,0.00,-0.24,0.06,297.60,317.51,-36.34,26.19,1553.33,-9.66,-167.12,3.08
13915,-0.00,0.00,-1.00,0.00,-0.18,-0.06,297.60,317.51,-36.34,26.20,1552.20,-9.98,-166.56,3.18
13939,-0.00,0.00,-1.00,0.00,-0.18,0.00,300.75,326.98,-21.20,26.18,1552.98,-10.37,-165.99,3.29
13964,-0.00,0.00,-1.00,-0.06,-0.24,0.00,300.75,326.98,-21.20,26.20,1550.90,-10.79,-165.38,3.42
13987,-0.00,0.00,-1.00,0.06,-0.31,0.06,300.75,326.98,-21.20,26.21,1552.48,-11.21,-164.81,3.54
14011,-0.00,0.01,-1.01,-0.06,-0.18,-0.06,300.75,326.98,-21.20,26.20,1550.56,-11.65,-164.24,3.67
14035,-0.00,0.00,-1.00,0.00,-0.18,0.12,300.75,326.98,-21.20,26.20,1550.37,-12.10,-163.66,3.80
14058,-0.00,0.00,-1.00,0.00,-0.24,0.12,300.75,326.98,-15.14,26.18,1551.31,-12.60,-163.07,3.94
14084,-0.00,0.00,-1.00,0.00,-0.18,0.00,300.75,326.98,-15.14,26.20,1550.64,-13.15,-162.45,4.10
14107,0.00,0.00,-1.00,-0.12,-0.12,0.06,300.75,326.98,-15.14,26.21,1550.48,-13.69,-161.87,4.25
14131,-0.00,0.00,-1.00,0.00,-0.24,0.00,300.75,326.98,-15.14,26.22,1553.35,-14.26,-161.29,4.40
14154,-0.00,0.00,-1.01,0.00,-0.18,-0.18,300.75,326.98,-15.14,26.21,1551.27,-14.85,-160.71,4.57
14178,-0.00,0.00,-1.00,0.06,-0.18,0.06,308.62,331.72,-28.77,26.24,1550.47,-15.43,-160.11,4.73
14202,-0.00,0.00,-1.00,0.06,-0.18,0.12,308.62,331.72,-28.77,26.21,1548.15,-16.04,-159.52,4.90
14227,-0.00,0.00,-1.00,0.00,-0.12,-0.06,308.62,331.72,-28.77,26.23,1551.82,-16.72,-158.89,5.09
14251,-0.00,0.00,-1.00,0.06,-0.18,0.06,308.62,331.72,-28.77,26.24,1551.93,-17.38,-158.29,5.28
14274,-0.00,0.00,-1.00,0.00,-0.18,-0.06,308.62,331.72,-28.77,26.22,1553.92,-18.07,-157.70,5.47
14298,-0.00,0.00,-1.00,0.00,-0.18,0.12,307.05,323.82,-21.20,26.22,1551.71,-18.82,-157.11,5.68
14322,-0.00,0.00,-1.00,0.00,-0.12,0.00,307.05,323.82,-21.20,26.20,1548.96,-19.60,-156.52,5.89
14351,-0.00,0.00,-1.00,0.00,-0.18,0.06,307.05,323.82,-21.20,26.23,1552.91,-20.61,-155.78,6.16
14375,0.00,0.00,-1.00,-0.06,-0.06,0.00,307.05,323.82,-21.20,26.23,1550.65,-21.46,-155.21,6.39
14399,0.00,0.00,-1.01,-0.12,-0.24,0.06,307.05,323.82,-21.20,26.22,1551.53,-22.35,-154.64,6.63
14423,-0.00,0.00,-1.00,0.00,-0.18,0.00,303.90,320.66,-36.34,26.21,1550.15,-23.24,-154.06,6.87
14446,-0.00,-0.00,-1.01,0.00,-0.18,0.06,303.90,320.66,-36.34,26.21,1549.76,-24.16,-153.50,7.12
14471,-0.00,0.00,-1.00,0.00,-0.24,-0.06,303.90,320.66,-36.34,26.23,1550.58,-25.18,-152.90,7.40
14495,-0.00,0.00,-1.00,0.00,-0.18,-0.06,303.90,320.66,-36.34,26.22,1550.79,-26.17,-152.37,7.67
14519,-0.00,0.00,-1.00,-0.06,-0.18,-0.12,303.90,320.66,-36.34,26.22,1551.22,-27.20,-151.84,7.96
14542,-0.00,0.00,-1.00,-0.12,-0.18,0.00,311.77,319.09,-19.69,26.21,1549.99,-28.32,-151.33,8.28
14566,-0.00,0.00,-1.00,0.00,-0.12,-0.06,311.77,319.09,-19.69,26.21,1549.10,-29.46,-150.85,8.61
14590,-0.00,0.00,-1.00,0.00,-0.24,0.00,311.77,319.09,-19.69,26.23,1551.82,-30.65,-150.39,8.95
14615,-0.00,0.00,-1.00,0.00,-0.12,0.06,311.77,319.09,-19.69,26.22,1552.16,-31.95,-149.91,9.34
14639,-0.00,0.00,-1.00,0.06,-0.24,0.06,311.77,319.09,-19.69,26.20,1552.28,-33.21,-149.50,9.72
14663,-0.00,0.00,-1.00,-0.06,-0.12,0.06,303.90,311.19,-30.28,26.24,1551.88,-34.48,-149.10,10.12
14686,0.00,0.00,-1.00,0.00,-0.18,0.06,303.90,311.19,-30.28,26.23,1551.18,-35.79,-148.73,10.54
14710,0.00,0.00,-1.00,0.00,-0.12,0.00,303.90,311.19,-30.28,26.22,1550.05,-37.12,-148.40,10.97
14735,-0.00,0.00,-1.01,-0.06,-0.12,0.00,303.90,311.19,-30.28,26.24,1551.39,-38.57,-148.08,11.46
14768,-0.00,0.00,-1.00,0.00,-0.06,0.00,303.90,311.19,-30.28,26.23,1553.99,-40.51,-147.73,12.15
14799,0.00,0.00,-1.00,-0.06,-0.18,0.00,302.32,315.93,-25.74,26.23,1550.02,-42.34,-147.50,12.83
14822,0.00,0.00,-1.00,0.06,-0.24,0.00,302.32,315.93,-25.74,26.23,1549.80,-43.79,-147.38,13.41
14846,-0.00,0.00,-1.00,0.00,-0.18,0.00,302.32,315.93,-25.74,26.22,1550.93,-45.25,-147.32,14.02
14871,-0.00,0.00,-1.00,0.00,-0.12,-0.06,302.32,315.93,-25.74,26.21,1553.38,-46.82,-147.32,14.72
14895,0.00,0.00,-1.00,-0.06,-0.12,0.06,302.32,315.93,-25.74,26.21,1549.43,-48.31,-147.38,15.41
14919,-0.00,0.00,-1.00,0.06,-0.18,0.06,314.92,319.09,-19.69,26.23,1552.82,-49.81,-147.52,16.18
14943,0.00,0.00,-1.00,-0.06,-0.18,0.06,314.92,319.09,-19.69,26.21,1552.67,-51.31,-147.73,17.00
14967,0.00,0.00,-1.00,-0.06,-0.12,-0.06,314.92,319.09,-19.69,26.23,1550.71,-52.81,-148.04,17.89
14990,-0.00,0.00,-1.00,-0.06,-0.06,0.06,314.92,319.09,-19.69,26.21,1551.63,-54.30,-148.43,18.84
15016,-0.00,0.00,-1.01,-0.06,-0.18,0.18,314.92,319.09,-19.69,26.22,1550.13,-55.90,-148.94,19.95
15040,0.00,0.00,-1.00,-0.06,-0.24,0.00,311.77,331.72,-22.71,26.21,1549.73,-57.41,-149.55,21.08
15063,-0.00,0.00,-1.00,0.06,-0.18,0.06,311.77,331.72,-22.71,26.22,1551.87,-58.88,-150.27,22.30
15087,-0.00,0.00,-1.00,0.06,-0.18,0.12,311.77,331.72,-22.71,26.25,1548.97,-60.35,-151.13,23.65
15111,0.00,0.00,-1.00,0.06,-0.24,0.06,311.77,331.72,-22.71,26.24,1550.31,-61.81,-152.14,25.13
15136,-0.00,0.00,-1.00,0.00,-0.24,0.06,311.77,331.72,-22.71,26.23,1550.95,-63.35,-153.40,26.89
15160,0.00,0.00,-1.00,0.06,-0.18,0.06,303.90,317.51,-27.26,26.21,1550.49,-64.77,-154.80,28.74
15184,0.00,0.00,-1.00,0.00,-0.12,0.00,303.90,317.51,-27.26,26.24,1548.81,-66.15,-156.40,30.78
15207,0.00,0.00,-1.00,-0.06,-0.06,0.06,303.90,317.51,-27.26,26.25,1552.84,-67.49,-158.25,33.05
15231,0.00,0.00,-1.00,0.06,-0.12,0.00,303.90,317.51,-27.26,26.22,1552.75,-68.79,-160.40,35.61
15256,0.00,0.00,-1.01,-0.06,-0.12,0.06,303.90,317.51,-27.26,26.25,1552.05,-70.14,-163.06,38.69
15280,-0.00,0.00,-1.00,0.00,-0.12,0.06,302.32,322.24,-28.77,26.24,1549.94,-71.35,-165.99,42.00
15304,-0.00,0.00,-1.00,0.00,-0.18,0.00,302.32,322.24,-28.77,26.25,1553.21,-72.48,-169.33,45.72
15328,-0.00,0.00,-1.01,0.00,-0.12,0.00,302.32,322.24,-28.77,26.24,1552.66,-73.52,-173.16,49.91
15351,0.00,0.01,-1.00,0.06,-0.06,-0.06,302.32,322.24,-28.77,26.22,1551.47,-74.46,-177.53,54.62
15375,-0.00,0.00,-1.00,-0.06,-0.12,0.00,302.32,322.24,-28.77,26.27,1550.95,-75.29,177.52,59.91
15405,-0.00,0.00,-1.00,0.12,-0.12,0.12,297.60,326.98,-21.20,26.25,1551.59,-76.15,170.42,67.41
15429,-0.00,0.00,-1.00,0.06,-0.12,0.12,297.60,326.98,-21.20,26.26,1549.30,-76.64,164.20,73.94
15452,-0.00,0.01,-1.00,0.00,-0.12,0.06,297.60,326.98,-21.20,26.24,1554.49,-76.95,157.56,80.88
15476,-0.00,0.00,-1.01,0.00,-0.12,0.12,297.60,326.98,-21.20,26.24,1551.28,-77.07,150.72,88.01
15500,-0.00,0.00,-1.00,0.06,-0.18,0.06,297.60,326.98,-21.20,26.26,1549.90,-76.98,143.84,95.17
